"";"GSM109131";"GSM109132";"GSM109133";"GSM109134";"GSM109135";"GSM109136";"GSM109137";"GSM109138";"Sequence.Source";"Target.Description";"Representative.Public.ID";"Gene.Title";"Gene.Symbol";"ENTREZ_GENE_ID";"RefSeq.Transcript.ID";"Gene.Ontology.Biological.Process";"Gene.Ontology.Cellular.Component";"Gene.Ontology.Molecular.Function";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"200090_at";624,4;665,1;578,5;692,5;574,8;642,2;703,5;697,5;NA;NA;NA;NA;NA;2339;NA;NA;NA;NA;-54,0250000000001;647,3125;-1,77976808694723;0,116247011238479;0,170938813984251;-4,55720822889849
"200091_s_at";1357,2;1388,1;1272,4;1431,7;1409,5;1404,4;935,2;948,8;NA;NA;NA;NA;NA;6230;NA;NA;NA;NA;-49,6749999999995;1268,4125;-0,350094086937036;0,736074031884416;0,78830604957309;-4,61746108393544
"200092_s_at";2403,7;2369,2;2451,5;2369,7;2261,6;2351;2046;2890,1;NA;NA;NA;NA;NA;6167;NA;NA;NA;NA;-204,300000000001;2392,85;-1,41112909116199;0,199050417758095;0,270365864570423;-4,57592553216853
"200093_s_at";726,7;705,9;754,7;695,3;688,8;605,9;637,3;658,6;NA;NA;NA;NA;NA;3094;NA;NA;NA;NA;35,4500000000002;684,15;1,12230169753554;0,297008610654677;0,378696750423069;-4,59009038191852
"200094_s_at";1320,2;1862,4;1415,9;1742,8;1329;2419,6;1746;2264,4;NA;NA;NA;NA;NA;1938;NA;NA;NA;NA;-619,525;1762,5375;-3,61966940031859;0,00781539023514453;0,0198748522738062;-4,48416899590243
"200095_x_at";4645,2;4561,5;4502,9;5036;4531,2;4333;4159;5104,6;NA;NA;NA;NA;NA;6204;NA;NA;NA;NA;-299,200000000001;4609,175;-1,54887755362966;0,163258113302236;0,228339350612093;-4,5689364233599
"200096_s_at";756;771,4;808,5;788;853,8;737,1;628,7;725,9;NA;NA;NA;NA;NA;8992;NA;NA;NA;NA;6,15000000000009;758,675;0,132441265704212;0,898183840026175;0,920050359185794;-4,62040428864576
"200097_s_at";966,8;1039,4;1079,8;1076,2;1067,1;1082,1;1030,9;1097,6;NA;NA;NA;NA;NA;3190;NA;NA;NA;NA;-37,6750000000004;1054,9875;-1,4210164349963;0,19626487340328;0,267039467633958;-4,57542649036719
"200098_s_at";493,3;518,3;489,4;447,9;466,2;463,1;584,5;318;NA;NA;NA;NA;NA;51433;NA;NA;NA;NA;71,5250000000001;472,5875;1,56991844549794;0,158336972130877;0,222577459684862;-4,56786473947179
"200099_s_at";2797,8;2988,3;3128,4;3666,6;2902,6;3809,3;3037,7;3979,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-644,400000000001;3288,825;-3,11262922886874;0,0159688254097004;0,0338127549849318;-4,49977352275755
"200593_s_at";452,3;306,9;427,4;272,1;408,1;263,9;421,9;331,1;NA;NA;NA;NA;NA;3192;NA;NA;NA;NA;133,925;360,4625;7,43772790629336;0,000112615441642549;0,00115612969109559;-4,43124472906283
"200594_x_at";1067,7;798,4;971,2;758,3;1000;571,6;1059,1;872,3;NA;NA;NA;NA;NA;3192;NA;NA;NA;NA;274,35;887,325;4,42740226319526;0,00270254062733209;0,00951801562726851;-4,46530317677746
"200595_s_at";586,6;767,1;534,5;610,3;653,8;642,6;533,9;758,9;NA;NA;NA;NA;NA;8661;NA;NA;NA;NA;-117,525;635,9625;-2,61739288801287;0,0330531354197338;0,0601103844535696;-4,51837588665948
"200596_s_at";164,3;256,6;264,1;253;160,1;254,8;251,4;237,5;NA;NA;NA;NA;NA;8661;NA;NA;NA;NA;-40,5;230,225;-1,53309404451158;0,167040924821652;0,232401126367599;-4,56974000701282
"200598_s_at";1051,5;1159,7;980,7;942,8;979,6;1363,2;741,8;1066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-194,525;1035,6625;-1,9262210384017;0,0934154230846312;0,142574679805452;-4,54989018617456
"200599_s_at";2009,2;2161,4;2099,1;2397,1;2194,2;2450,9;2167,9;1896,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-108,975;2172,0875;-0,904548710879415;0,394348552813752;0,476855228527741;-4,59983179293197
"200600_at";1756,2;1632,4;1668,4;1760,5;1601,6;1697,2;1330;1454,9;NA;NA;NA;NA;NA;4478;NA;NA;NA;NA;-47,2;1612,65;-0,460895613112462;0,658184706517172;0,721902017099635;-4,6150061197896
"200601_at";334,7;480,3;713,3;460,6;706,5;679,9;429,8;518,5;NA;NA;NA;NA;NA;81;NA;NA;NA;NA;11,25;540,45;0,114332960719646;0,912030740834672;0,930117285089198;-4,62053133062102
"200602_at";655,3;699,9;486,3;499;661,3;496;487,8;332,9;NA;NA;NA;NA;NA;351;NA;NA;NA;NA;65,7250000000001;539,8125;0,806026896107584;0,445485806643825;0,529359899465084;-4,60382817739108
"200603_at";889,3;737,4;806,5;549,6;866,4;671,4;676,9;559,2;NA;NA;NA;NA;NA;5573;NA;NA;NA;NA;180,375;719,5875;3,0133174081575;0,018438947530476;0,0378315162852839;-4,5032271350364
"200604_s_at";357,6;334,9;295,7;198,9;321,9;339,4;210,2;243,2;NA;NA;NA;NA;NA;5573;NA;NA;NA;NA;17,2500000000001;287,725;0,401884370997643;0,699184812819103;0,756678185969856;-4,61639006843883
"200605_s_at";717,6;547,3;712,2;572,6;663,4;575;615,7;492,5;NA;NA;NA;NA;NA;5573;NA;NA;NA;NA;130,375;612,0375;4,55450660707209;0,00230696679100137;0,00850225186278807;-4,46288441913651
"200607_s_at";139,1;335,7;180,7;195,6;248,1;370,7;148,8;275,6;NA;NA;NA;NA;NA;5885;NA;NA;NA;NA;-115,225;236,7875;-2,75513579871458;0,0269345077457808;0,0510487132461318;-4,51285269882368
"200608_s_at";373,3;372;288,4;336,4;316,7;329,2;228,5;240;NA;NA;NA;NA;NA;5885;NA;NA;NA;NA;-17,675;310,5625;-0,466123978506903;0,654608966074461;0,719797702945467;-4,61487531883018
